"ID","State","Name","County","Lat","Lon","Combust","Fuel","FuelCat","Capacity","HeatInput","NetGen","NOX","SO2","CO2","CoalGen","OilGen","GasGen","NuclearGen","HydroGen","BiomassGen","WindGen","SolarGen","GeoGen","OtherFossilGen","OtherGen","NonRenewGen","RenewGen","CombGen","NonCombGen","CoalPortion","CapFac","SO2OutRate","CO2OutRate","NOXOutRate","NOXInRate","CO2InRate","SO2InRate"
53,"AK","Mountain Village","Bethel",62.1656,-163.0783,1,"JF","OIL",1.7,29812,2805,36.34,0,2382.4,0,2805,0,0,0,0,0,0,0,0,0,2805,0,2805,0,0,0.188356164383562,0,0.849340463458111,0.0129554367201426,0.00121897222594928,0.0799141285388434,0
54,"AK","Naknek","Bristol Bay",58.8128,-156.7319,1,"DFO","OIL",9.9,178066.5,20949,217.06,7.29,14568,0,20949,0,0,0,0,0,0,0,0,0,20949,0,20949,0,0,0.241559429915594,0.000347987970786195,0.695403121867392,0.0103613537639028,0.00121898279575327,0.0818121319843991,4.09397612689641e-05
55,"AK","New Halen","Lake and Peninsula",60.065,-153.1217,1,"DFO","OIL",1.5,5316,411,6.48,0.22,434.9,0,411,0,0,0,0,0,0,0,0,0,411,0,411,0,0,0.0312785388127854,0.000535279805352798,1.05815085158151,0.0157664233576642,0.00121896162528217,0.0818096313017306,4.13844996237773e-05
56,"AK","Nikiski Co-Generation","Kenai Peninsula",60.5619,-150.6222,1,"NG","GAS",37.9,2254608,265248,311.14,3.95,131904.7,0,0,265248,0,0,0,0,0,0,0,0,265248,0,265248,0,0,0.798930133371887,1.48917239715285e-05,0.497288198214501,0.00117301544215225,0.000138001816723794,0.0585044939075884,1.75196752606218e-06
57,"AK","Noatak","Northwest Arctic",67.57,-162.98,1,"JF","OIL",1.2,20881,1807,25.45,0,1668.7,0,1807,0,0,0,0,0,0,0,0,0,1807,0,1807,0,0,0.171898782343988,0,0.923464305478694,0.0140841173215274,0.00121881135960921,0.0799147550404674,0
58,"AK","Noorvik","Northwest Arctic",66.8553,-160.4958,1,"JF","OIL",1,17284,1998,21.07,0,1381.2,0,1998,0,0,0,0,0,0,0,0,0,1998,0,1998,0,0,0.228082191780822,0,0.691291291291291,0.0105455455455455,0.00121904651700995,0.0799120573941217,0
59,"AK","North Pole","Fairbanks",64.7356,-147.3481,1,"JF","OIL",181,4460957,520322,691.45,0.75,361473.5,0,520322,0,0,0,0,0,0,0,0,0,520322,0,520322,0,0,0.328162920356215,1.44141512371186e-06,0.694711159628077,0.00132888864972075,0.000155000373238298,0.0810304829210414,1.68125359648165e-07
60,"AK","Northway","Southeast Fairbanks",62.9617,-141.9372,1,"DFO","OIL",1.1,13535,1257,16.5,0.55,1107.3,0,1257,0,0,0,0,0,0,0,0,0,1257,0,1257,0,0,0.130448318804483,0.000437549721559268,0.88090692124105,0.013126491646778,0.00121906169190986,0.0818101219061692,4.06353897303288e-05
61,"AK","NSB Anaktuvuk Pass","North Slope",68.7494,-152.1319,1,"DFO","OIL",2.8,27650.5,3253,33.71,1.13,2262.1,0,3253,0,0,0,0,0,0,0,0,0,3253,0,3253,0,0,0.132623939986954,0.000347371656932063,0.695388871810636,0.0103627420842299,0.00121914612755646,0.0818104555071337,4.08672537567133e-05
62,"AK","NSB Atquasuk Utility","North Slope",70.4808,-157.3969,1,"DFO","OIL",3.2,25406.5,2989,30.97,1.04,2078.6,0,2989,0,0,0,0,0,0,0,0,0,2989,0,2989,0,0,0.106628139269406,0.000347942455670793,0.695416527266644,0.010361324857812,0.0012189793950367,0.0818137090901934,4.09344065495051e-05
63,"AK","NSB Kaktovik Utility","North Slope",69.2925,-143.7303,1,"DFO","OIL",2.6,34765,4090,42.38,1.42,2844.2,0,4090,0,0,0,0,0,0,0,0,0,4090,0,4090,0,0,0.179574991218827,0.00034718826405868,0.695403422982885,0.010361858190709,0.00121904214008342,0.0818121674097512,4.08456781245506e-05
64,"AK","NSB Point Hope Utility","North Slope",69.7407,-163.0087,1,"DFO","OIL",2.7,46546,5476,56.74,1.9,3808,0,5476,0,0,0,0,0,0,0,0,0,5476,0,5476,0,0,0.231523761204126,0.000346968590211833,0.695398100803506,0.0103615777940102,0.0012190091522365,0.0818115412710007,4.08198341425686e-05
65,"AK","NSB Point Lay Utility","North Slope",69.6931,-169.9303,1,"DFO","OIL",1.8,30838,3628,37.59,1.26,2522.9,0,3628,0,0,0,0,0,0,0,0,0,3628,0,3628,0,0,0.230086250634196,0.000347298787210584,0.695396912899669,0.0103610804851158,0.00121895064530774,0.0818114015176081,4.0858680848304e-05
